registration_code,school_short_name,school_full_name,school_old_name,district,education_office,post_adress,longitude,latitude,places_amount,pupils,staf,students_per_teacher
23887394,Львівська середня загальноосвітня школа I-III ст. №71,Львівська середня загальноосвітня школа I-III ступенів №71 Львівської міської ради Львівської області,Львівська середня загальноосвітня школа №71,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79000, м. Львів, вул. Кривчицька Дорога, 92",24.08407482,49.84774975,380.0,111,33.44,3.319377990430622
23888608,Львівська середня загальноосвітня школа І-ІІІ ст. №44 ім. Т. Г. Шевченка,Львівська середня загальноосвітня школа І-ІІІ ступенів №44 імені Т. Г. Шевченка,Львівська середня загальноосвітня школа І-ІІІ ступенів №44 імені Тараса Шевченка,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79039, м. Львів, вул. Я. Пстрака, 1",24.01365951,49.84532524,641.0,680,83.36,8.157389635316699
22336025,Львівська середня загальноосвітня школа східних мов та бойових мистецтв «Будокан» з поглибленим вивченням іноземних мов,Львівська середня загальноосвітня школа східних мов та бойових мистецтв «Будокан» з поглибленим вивченням іноземних мов,Львівська середня загальноосвітня школа східних мов та східних бойових мистецтв «Будокан» з поглибленим вивченням іноземних мов,Галицький,Відділ освіти Галицького та Франківського районів,"79005, м. Львів, вул. В. Шухевича, 2",24.03401472,49.83716219,500.0,299,75.48,3.961314255431902
22350373,Львівська українська гімназія ім. Олени Степанів з поглибленим вивченням українознавства та англійської мови ,Львівська українська гімназія ім. Олени Степанів з поглибленим вивченням українознавства та англійської мови ,Львівська українська гімназія ім. Олени Степанів з поглибленим вивченням українознавства та англійської мови ,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79016, м. Львів, вул. О. Степанівни, 13",24.00769322,49.84233425,710.0,583,96.53,6.039573189681964
13807543,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті ім. Івана Франка,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті ім. Івана Франка,Львіський фізико-математичний ліцей-інтернат при Львівському національному університеті ім. Івана Франка,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79054, м. Львів, вул. В. Караджича, 29",23.97040692,49.82582566,407.0,581,119.56,4.859484777517564
22350309,Львівський художній ліцей при Львівській національній академії мистецтв,Львівський художній ліцей при Львівській національній академії мистецтв,Львівський художній ліцей при Львівській національній академії мистецтв,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79018, м. Львів, вул. Хотинська, 6",24.0049072,49.83802329,300.0,124,31.14,3.9820166987797045
22366871,Навчально-виховний комплекс «Інженерно-економічна школа-Львівський економічний ліцей»,"Навчально-виховний комплекс ""Інженерно-економічна школа-Львівський економічний ліцей""","Навчально-виховний комплекс ""Інженерно-економічна школа-Львівський економічний ліцей""",Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79059, м. Львів, вул. М. Хвильового, 35",24.03956621,49.87025291,290.0,263,42.5,6.188235294117647
23885337,"Навчально-виховний комплекс «Один, два, три»","Львівський навчально-виховний комплекс «Один, два, три» Львівської міської ради Львівської області","Навчально-виховний комплекс «Школа-садок – 1,2,3»",Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79054, м. Львів, вул. Любінська, 89в",23.97722915,49.82187658,228.0,130,64.04,2.02998126171143
22350321,"Навчально-виховний комплекс «Школа І ступеня - Гімназія ""Гроно""»","Навчально-виховний комплекс «Школа І ступеня - Гімназія ""Гроно""» м. Львова","Навчально-виховний комплекс «Школа І ступеня-гімназія ""Гроно""»",Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79000, м. Львів, вул. Вигоди, 27",23.97488091,49.8390313,1568.0,1071,138.7,7.721701514059121
23888732,Навчально-виховний комплекс «Школа компютерних технологій-Львівський технологічний ліцей»,"Навчально-виховний комплекс ""Школа компютерних технологій-Львівський технологічний ліцей""","Навчально-виховний комплекс ""Школа компютерних технологій-Львівський технологічний ліцей""",Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79007, м. Львів, вул. Таманська, 11",24.02228031,49.84576927,551.0,166,43.39,3.825766305600369
